elapsed_time,winner,unf_err,net_pt_won,break_pt,distance_run,return_depth,point_victor
00:00:00,0,0,0,0,5.661,1.0,0.0
00:00:25,0,0,0,0,18.502,0.0,1.0
00:01:19,1,0,0,0,4.786,0.0,1.0
00:02:17,0,0,0,0,4.907,0.0,0.0
00:03:02,0,0,0,0,12.881,0.0,1.0
00:03:38,0,0,0,1,7.293,1.0,0.0
00:04:05,0,0,0,0,23.283,0.0,0.0
00:04:41,0,0,0,0,23.179,1.0,1.0
00:06:03,0,-1,0,0,29.115,1.0,0.0
00:06:43,0,0,0,0,8.941,0.0,0.0
00:12:45,0,-1,0,0,20.078,1.0,0.0
00:13:23,0,0,0,0,29.805,1.0,1.0
00:14:24,0,0,0,0,31.981,1.0,1.0
00:15:30,0,0,0,0,93.364,0.0,0.0
00:17:03,0,0,0,0,48.241,0.0,0.0
00:25:06,0,0,0,0,5.873,1.0,0.0
00:25:28,0,-1,0,0,13.029,1.0,0.0
00:25:57,1,0,0,0,13.896,0.0,1.0
00:26:33,0,-1,0,0,26.566,1.0,0.0
00:32:28,0,0,0,0,31.957,1.0,0.0
00:33:11,0,0,0,0,8.491,0.0,0.0
00:33:55,0,0,0,0,4.404,0.0,0.0
00:34:19,0,0,0,0,13.498,0.0,0.0
00:40:32,0,0,0,0,20.745,0.0,1.0
00:41:29,0,0,0,0,24.814,0.0,0.0
00:42:10,0,0,0,0,33.497,1.0,0.0
00:43:16,0,-1,0,0,3.971,1.0,0.0
00:44:16,1,0,0,0,35.076,1.0,1.0
00:45:23,0,0,0,0,16.727,0.0,1.0
00:46:38,0,0,0,1,7.052,1.0,0.0
00:47:10,0,0,0,0,31.842,0.0,1.0
00:48:01,0,0,0,-1,23.419,0.0,1.0
00:56:40,0,0,0,0,23.385,0.0,1.0
00:57:17,0,0,0,0,35.028,0.0,1.0
00:58:25,0,-1,0,0,15.211,1.0,0.0
00:59:14,0,0,0,0,4.333,1.0,0.0
01:00:04,0,0,0,0,7.486,1.0,1.0
01:01:00,0,-1,0,1,120.712,0.0,0.0
01:02:27,0,0,0,0,23.661,1.0,0.0
01:03:10,0,0,0,0,5.38,0.0,0.0
01:11:20,1,0,0,0,66.55,1.0,1.0
01:12:26,1,0,0,0,29.367,0.0,1.0
01:13:52,0,0,0,0,4.812,1.0,0.0
01:14:39,0,0,0,0,10.234,1.0,0.0
01:15:16,0,0,0,0,6.781,1.0,0.0
01:16:02,0,0,0,0,6.068,1.0,0.0
01:21:22,0,0,0,0,10.209,0.0,0.0
01:22:31,0,0,0,0,47.513,0.0,1.0
01:23:20,0,0,0,0,35.813,0.0,0.0
01:24:23,0,0,0,0,13.188,1.0,0.0
01:25:13,0,-1,0,0,5.991,1.0,0.0
01:31:34,0,0,0,0,9.818,1.0,1.0
01:32:06,0,-1,0,0,22.897,0.0,0.0
01:32:50,0,0,0,0,38.314,0.0,0.0
01:33:21,0,0,0,0,31.111,0.0,1.0
01:35:06,0,-1,0,0,11.433,0.0,0.0
01:35:40,0,0,0,0,15.698,0.0,1.0
01:36:21,0,-1,0,0,46.149,0.0,0.0
01:37:19,0,0,0,0,44.282,1.0,0.0
01:43:24,0,0,0,0,26.376,0.0,0.0
01:44:03,0,0,0,0,12.01,0.0,1.0
01:45:02,0,0,0,0,4.405,1.0,0.0
01:45:46,0,0,0,0,57.365,1.0,1.0
01:46:31,0,0,0,0,20.863,1.0,0.0
01:46:59,0,0,0,0,9.221,1.0,0.0
01:48:37,0,0,0,0,14.208,1.0,0.0
01:49:07,0,0,0,0,7.534,0.0,0.0
01:50:45,0,0,0,0,17.479,0.0,1.0
01:51:49,0,0,0,0,25.206,0.0,0.0
01:54:58,0,0,0,0,19.692,0.0,0.0
01:56:00,0,0,0,0,56.398,1.0,0.0
01:59:06,1,0,0,0,5.329,1.0,1.0
02:02:01,0,0,0,0,14.737,1.0,1.0
02:02:31,0,-1,0,0,48.376,1.0,0.0
02:04:02,1,0,0,0,21.503,0.0,1.0
02:04:40,0,0,1,0,61.566,0.0,1.0
02:05:29,0,-1,0,1,6.133,1.0,0.0
02:06:14,1,0,0,0,40.155,0.0,1.0
02:07:43,0,0,0,-1,17.37,0.0,1.0
02:13:01,0,0,0,0,5.689,0.0,0.0
02:13:21,1,0,1,0,59.146,1.0,1.0
02:14:16,0,0,0,0,22.259,1.0,1.0
02:14:54,0,0,0,0,50.638,0.0,0.0
02:16:00,0,0,0,0,10.845,1.0,0.0
02:16:45,0,0,0,0,6.171,0.0,0.0
02:26:35,0,0,0,0,5.66,1.0,0.0
02:27:11,0,0,0,0,11.628,1.0,0.0
02:28:31,0,0,0,0,22.347,0.0,0.0
02:29:41,1,0,1,0,14.057,0.0,1.0
02:30:22,0,0,0,0,10.594,0.0,1.0
02:30:52,0,0,0,0,8.528,0.0,0.0
02:31:32,0,0,0,0,49.295,0.0,1.0
02:32:34,0,0,0,0,30.711,0.0,0.0
02:33:15,0,0,0,0,17.179,0.0,1.0
02:34:06,0,0,0,0,12.06,1.0,1.0
02:34:44,0,0,0,1,23.133,1.0,0.0
02:35:17,0,0,0,0,19.597,0.0,0.0
02:36:24,0,0,0,0,16.92,0.0,1.0
02:38:07,0,0,0,0,4.841,0.0,1.0
02:38:49,0,0,0,1,26.683,1.0,0.0
02:39:29,0,0,0,0,32.655,0.0,0.0
02:40:07,0,0,0,0,9.576,0.0,1.0
02:41:01,0,0,0,0,49.941,0.0,1.0
02:42:05,0,0,0,1,15.414,0.0,0.0
02:42:38,0,-1,0,0,21.307,0.0,0.0
02:43:11,0,0,0,0,39.681,0.0,1.0
02:44:03,0,0,0,0,32.354,0.0,1.0
02:45:39,0,0,0,0,24.36,0.0,1.0
02:46:35,0,0,0,1,8.69,0.0,0.0
02:47:01,0,0,0,0,33.074,1.0,1.0
02:47:47,0,0,0,1,12.75,1.0,0.0
02:48:55,0,-1,0,0,33.545,0.0,0.0
02:50:04,1,0,0,0,41.181,0.0,1.0
02:51:11,0,0,0,0,51.822,0.0,1.0
02:52:06,0,0,0,-1,8.884,0.0,1.0
02:57:04,1,0,0,0,10.872,0.0,1.0
02:57:28,1,0,0,0,5.061,0.0,1.0
02:58:24,0,0,0,1,4.957,1.0,0.0
03:10:06,0,0,0,0,121.06,0.0,1.0
03:10:52,1,0,0,0,13.512,1.0,1.0
03:11:45,0,0,0,0,31.47,0.0,0.0
03:12:16,1,0,0,0,11.387,0.0,1.0
03:13:16,0,0,0,1,30.656,0.0,0.0
03:14:05,0,0,0,1,43.231,1.0,0.0
03:14:43,0,0,0,0,41.1,0.0,0.0
03:15:18,0,0,0,0,8.022,0.0,0.0
03:25:30,0,0,0,0,41.564,0.0,0.0
03:26:14,0,0,0,0,10.943,1.0,0.0
03:26:55,1,0,0,0,35.75,0.0,1.0
03:27:55,0,0,0,0,43.248,0.0,1.0
03:28:35,0,0,0,0,10.007,1.0,0.0
03:29:38,1,0,0,0,33.438,1.0,1.0
03:30:20,0,0,0,0,25.741,0.0,0.0
03:31:20,0,0,0,0,36.659,0.0,0.0
03:41:07,0,-1,0,0,24.151,1.0,0.0
03:41:33,1,0,0,0,29.751,0.0,1.0
03:42:14,0,0,0,0,23.423,0.0,0.0
03:42:43,0,0,0,0,45.735,1.0,0.0
03:43:42,1,0,0,0,18.502,1.0,1.0
03:44:35,0,0,0,0,13.279,0.0,0.0
03:49:35,0,0,0,0,14.467,0.0,0.0
03:50:02,0,0,0,0,45.02,1.0,0.0
03:50:56,0,0,0,0,15.256,0.0,0.0
03:51:26,0,0,0,0,8.461,0.0,0.0
03:57:11,0,0,0,0,24.728,1.0,0.0
03:57:58,0,-1,0,0,28.056,0.0,0.0
03:59:07,1,0,0,0,7.73,0.0,1.0
03:59:51,1,0,1,0,18.626,0.0,1.0
04:00:47,1,0,0,0,12.669,0.0,1.0
04:01:49,0,0,0,1,8.589,0.0,0.0
04:02:19,0,0,0,0,7.427,0.0,0.0
04:02:47,1,0,0,0,57.056,1.0,1.0
04:04:31,0,-1,0,0,15.773,0.0,0.0
04:12:24,1,0,0,0,30.085,1.0,1.0
04:13:06,0,0,0,0,14.747,0.0,0.0
04:13:38,1,0,1,0,26.608,0.0,1.0
04:14:55,0,0,0,0,17.807,0.0,0.0
04:15:28,0,0,0,0,8.418,0.0,1.0
04:16:05,1,0,0,-1,59.324,1.0,1.0
04:20:10,0,0,0,0,3.344,1.0,0.0
04:20:49,0,0,0,0,8.14,1.0,0.0
04:21:35,0,0,0,0,10.657,1.0,1.0
04:22:15,0,0,0,0,20.456,0.0,0.0
04:27:39,0,0,0,0,5.634,0.0,0.0
04:27:54,1,0,0,0,8.655,1.0,1.0
04:28:40,0,0,0,0,48.552,1.0,0.0
04:29:22,1,0,0,0,14.99,0.0,1.0
04:29:59,0,0,0,0,14.929,0.0,0.0
04:30:59,0,0,0,0,15.338,0.0,0.0
04:35:50,0,0,0,0,17.628,0.0,0.0
04:36:18,0,0,0,0,22.495,1.0,0.0
04:36:44,0,0,0,0,8.686,0.0,0.0
04:37:13,0,0,0,0,16.135,0.0,1.0
04:37:38,0,0,0,0,4.15,1.0,0.0
00:08:02,0,0,0,0,10.329,0.0,1.0
00:08:28,1,0,0,0,20.001,0.0,1.0
00:09:22,0,0,0,0,23.589,1.0,1.0
00:10:25,0,0,0,1,15.338,0.0,0.0
00:10:57,0,0,0,1,7.393,0.0,0.0
00:11:29,0,0,0,-1,18.532,1.0,1.0
00:19:49,0,0,0,0,14.266,1.0,1.0
00:20:15,0,0,0,0,7.056,0.0,0.0
00:20:38,0,0,0,0,26.119,1.0,1.0
00:21:15,0,0,0,0,38.992,1.0,1.0
00:21:55,0,0,0,1,12.258,1.0,0.0
00:22:36,0,0,0,1,5.84,0.0,0.0
00:23:16,0,0,0,0,41.723,0.0,1.0
00:24:11,0,0,0,-1,10.59,0.0,1.0
00:29:15,0,0,0,0,10.305,1.0,0.0
00:29:37,0,0,0,0,10.082,0.0,1.0
00:30:55,0,0,0,0,57.879,1.0,0.0
00:31:36,0,0,0,0,17.993,1.0,0.0
00:36:28,0,0,0,0,17.213,0.0,0.0
00:36:58,0,0,1,0,42.752,0.0,1.0
00:37:34,0,0,0,0,18.009,0.0,0.0
00:38:07,0,0,0,0,5.703,0.0,0.0
00:38:34,0,0,0,0,8.897,0.0,0.0
00:48:48,0,0,0,0,5.002,0.0,1.0
00:49:32,0,0,0,0,23.472,0.0,0.0
00:50:22,0,0,0,0,65.676,0.0,0.0
00:52:06,0,0,0,0,8.788,1.0,0.0
00:52:49,0,0,0,0,35.296,1.0,1.0
00:53:31,0,0,1,0,29.453,0.0,1.0
00:54:08,0,0,0,-1,51.537,0.0,1.0
01:03:48,0,0,0,0,38.632,0.0,1.0
01:05:15,0,-1,0,0,19.026,1.0,0.0
01:05:42,0,0,0,0,24.977,0.0,0.0
01:06:16,0,0,0,0,6.408,1.0,1.0
01:06:42,0,0,1,0,46.159,1.0,1.0
01:07:32,0,0,0,0,43.401,0.0,0.0
01:08:08,1,0,0,0,11.423,1.0,1.0
01:08:35,0,0,0,0,3.384,0.0,0.0
01:09:18,0,-1,0,0,14.734,0.0,0.0
01:16:45,0,0,0,0,24.886,0.0,0.0
01:17:34,0,0,0,0,70.53,0.0,0.0
01:18:29,0,0,0,0,7.248,0.0,0.0
01:26:03,0,0,0,0,7.151,0.0,1.0
01:26:31,0,0,0,0,24.744,0.0,0.0
01:28:01,0,0,0,0,4.901,1.0,0.0
01:28:26,0,0,0,0,27.729,0.0,0.0
01:29:17,0,0,0,0,5.74,0.0,0.0
01:38:38,0,0,0,0,12.785,1.0,1.0
01:39:23,0,0,0,0,77.904,0.0,0.0
01:40:32,0,0,0,0,5.147,1.0,0.0
01:41:01,0,0,0,0,2.431,1.0,0.0
01:41:28,0,0,0,0,11.333,0.0,0.0
01:47:38,0,0,0,0,19.372,1.0,1.0
01:49:43,0,0,0,0,7.066,1.0,0.0
01:52:29,0,0,0,0,9.965,0.0,0.0
01:53:15,0,0,0,0,57.632,0.0,0.0
01:57:02,0,-1,0,0,10.921,1.0,0.0
01:58:15,0,-1,0,0,11.191,0.0,0.0
02:10:13,0,0,0,0,8.534,0.0,0.0
02:10:37,0,0,0,0,7.153,1.0,0.0
02:11:03,0,-1,0,0,9.835,1.0,0.0
02:11:49,0,0,0,0,20.948,1.0,1.0
02:12:32,0,0,0,0,9.73,0.0,0.0
02:19:00,0,-1,0,0,77.318,0.0,0.0
02:19:40,0,0,0,0,12.899,0.0,1.0
02:20:07,0,0,0,0,16.482,0.0,1.0
02:20:41,0,0,0,0,33.692,0.0,1.0
02:21:37,0,-1,0,1,34.291,0.0,0.0
02:23:42,0,0,0,0,10.625,0.0,0.0
02:24:29,0,0,0,0,6.42,1.0,0.0
02:54:24,0,0,0,0,9.606,1.0,0.0
02:54:45,0,-1,0,0,24.883,0.0,0.0
02:55:21,0,0,0,0,3.473,0.0,0.0
02:55:41,0,0,0,0,9.284,1.0,1.0
02:56:03,0,0,0,0,8.278,1.0,0.0
03:06:09,0,0,0,0,18.813,0.0,1.0
03:07:16,0,0,0,0,6.285,0.0,0.0
03:07:56,0,0,0,0,31.364,0.0,0.0
03:08:31,0,0,0,0,28.944,0.0,0.0
03:09:09,0,0,0,0,21.412,0.0,0.0
03:16:06,0,0,0,0,4.127,1.0,0.0
03:16:43,0,0,0,0,5.561,0.0,1.0
03:17:19,0,0,0,0,13.51,0.0,0.0
03:18:16,0,0,0,0,22.42,1.0,1.0
03:19:10,0,0,0,0,14.373,1.0,1.0
03:19:56,0,0,0,0,15.453,0.0,0.0
03:21:39,1,0,0,0,21.163,0.0,1.0
03:22:27,0,0,0,0,52.041,1.0,0.0
03:23:33,0,-1,0,0,13.018,1.0,0.0
03:32:08,0,0,0,0,29.792,0.0,0.0
03:32:56,1,0,1,0,24.598,1.0,1.0
03:33:46,0,-1,0,0,12.646,1.0,0.0
03:34:49,0,0,0,0,34.85,1.0,1.0
03:35:30,0,-1,0,1,15.593,0.0,0.0
03:37:46,0,0,0,1,22.59,0.0,0.0
03:38:20,0,0,0,0,19.392,0.0,1.0
03:39:00,0,0,0,-1,36.614,0.0,1.0
03:45:09,0,0,0,0,20.942,0.0,0.0
03:45:38,1,0,1,0,18.119,1.0,1.0
03:46:36,0,0,0,0,4.129,0.0,0.0
03:47:00,0,-1,0,0,25.33,0.0,0.0
03:53:13,0,0,0,0,13.07,0.0,1.0
03:53:55,0,0,0,1,7.012,0.0,0.0
04:05:45,0,0,0,0,49.787,0.0,1.0
04:06:36,0,0,0,0,43.241,0.0,0.0
04:07:12,0,0,0,0,8.362,0.0,1.0
04:08:33,0,0,0,0,14.441,1.0,1.0
04:09:19,0,0,0,1,65.59,0.0,0.0
04:10:25,0,0,0,0,10.895,0.0,0.0
04:11:15,0,0,0,0,26.24,0.0,0.0
04:18:08,0,0,0,0,5.111,0.0,0.0
04:18:35,0,0,0,0,5.952,0.0,0.0
04:19:02,0,0,0,0,10.188,1.0,0.0
04:23:53,0,0,1,0,19.453,0.0,1.0
04:24:40,0,0,0,0,12.306,0.0,0.0
04:25:26,0,0,0,0,22.353,0.0,1.0
04:25:55,0,0,0,0,6.353,1.0,0.0
04:26:37,0,-1,0,0,13.091,1.0,0.0
04:32:45,0,0,0,0,51.222,1.0,1.0
04:33:13,0,0,0,0,5.259,1.0,0.0
04:33:51,0,0,0,0,16.37,1.0,0.0
04:34:38,0,0,0,0,13.154,0.0,0.0
04:35:05,0,0,0,0,7.329,1.0,0.0
04:39:31,0,0,0,0,10.303,0.0,1.0
04:39:58,0,0,0,0,50.971,1.0,0.0
04:40:43,0,0,0,0,27.766,0.0,0.0
04:41:20,1,0,0,0,18.328,1.0,1.0
04:41:52,0,0,0,0,10.537,1.0,0.0
04:42:27,0,0,0,0,25.367,0.0,0.0
