momentum,1,con_pro_win
0.3150581809551225,0.185835293,2
0.25370890085689224,-0.11530402100000003,3
0.38255978059415047,0.10719858899999996,3
0.2857428794210327,-0.090882834,2
0.3965655061235193,0.193685072,2
0.33053184275102143,-0.12098779299999998,2
0.44358581767389255,0.221269532,4
0.2160826872254493,-0.210035113,1
0.35739410923122794,0.08596371200000003,3
0.278311018595554,-0.05315360200000002,3
0.4071618983328122,0.095189824,3
0.3034893556436739,-0.14017009400000002,2
0.42489570887025596,0.12279964099999999,4
0.28604998760355793,-0.11421290099999998,0
0.3891336452980406,0.017205365,3
0.3037837981410017,-0.13283178,1
0.37139983476059685,0.118087679,2
0.3037837981410017,-0.07847500699999999,1
0.37139983476059685,0.09257010400000001,2
0.3976629312145196,0.028443120000000016,3
0.3442115023547565,0.09020128400000002,2
0.2604440284448148,-0.06685986999999999,1
0.406734276222189,0.115669881,3
0.33882379710526606,-0.024932142999999962,3
0.42476252925696056,0.09288256599999997,3
0.30523299177480356,-0.17320103700000003,1
0.45356131818063516,0.146304524,1
0.30075729567800247,-0.15611388699999998,2
0.42901929042060505,-0.016338498000000035,4
0.2895846841592514,-0.12835594199999997,2
0.3935516693457175,0.061859315000000026,2
0.29644032567527195,-0.06910345000000001,2
0.4252912054125301,0.09720401000000004,2
0.3396469157581634,-0.08922395700000002,1
0.4427305734526461,0.09752754099999997,4
0.3390580307635078,-0.10211131100000001,3
0.3916748536012925,0.09098689699999998,2
0.2898791266565792,0.010431255000000028,1
0.39572292758747035,0.115441391,1
0.32998370671230026,-0.17418364,0
0.43306736440678295,0.12175879399999999,3
0.32968926421497247,-0.126165943,1
0.4153335538693392,0.13095765300000003,2
0.34771751724974403,0.03652438599999999,1
0.43306736440678295,0.099451654,3
0.3116610111802009,-0.13435478700000003,1
