momentum,mean_performance,con_pro_win
0.3150581809551225,0.1526672827549836,2
0.25370890085689224,-0.08886588392260808,2
0.38255978059415047,0.0934800302540495,2
0.2857428794210327,-0.0686948736882518,2
0.3965655061235193,0.1604013979881957,1
0.33053184275102143,-0.08937096190745969,2
0.44358581767389255,0.189891254079001,0
0.2160826872254493,-0.1802192819105037,3
0.35739410923122794,0.06764020942796989,2
0.278311018595554,-0.039755392011703305,2
0.4071618983328122,0.07441049270823702,2
0.3034893556436739,-0.1117199976365586,3
0.42489570887025596,0.10460196049209872,2
0.28604998760355793,-0.09721898397382533,4
0.3891336452980406,0.006672029832533621,1
0.3037837981410017,-0.10786162863415658,4
0.37139983476059685,0.09406566137518227,1
0.3037837981410017,-0.05583303585003968,4
0.37139983476059685,0.059885872778554006,1
0.3976629312145196,0.022679327243513597,3
0.3442115023547565,0.069736212575506,2
0.2604440284448148,-0.05135430842617589,3
0.406734276222189,0.0889741320564558,2
0.33882379710526606,-0.007367165820615529,4
0.42476252925696056,0.07090397625353612,3
0.30523299177480356,-0.14297377132561817,3
0.45356131818063516,0.11386347956227759,3
0.30075729567800247,-0.1252006452781955,4
0.42901929042060505,-0.04186490224338568,2
0.2895846841592514,-0.10763275455096832,2
0.3935516693457175,0.04383731600966628,2
0.29644032567527195,-0.04823324158810277,1
0.4252912054125301,0.07252857432289608,1
0.3396469157581634,-0.0657648461513968,3
0.4427305734526461,0.0737878432424684,0
0.3390580307635078,-0.070320863353834,1
0.3916748536012925,0.0675866623460055,3
0.2898791266565792,0.019191030652108587,3
0.39572292758747035,0.08677253393632878,2
0.32998370671230026,-0.1434037634230769,4
0.43306736440678295,0.089873609123752,1
0.32968926421497247,-0.10149520893126057,3
0.4153335538693392,0.09986542536022289,1
0.34771751724974403,0.051569984537447294,4
0.43306736440678295,0.07218167132780048,1
0.3116610111802009,-0.1001226079198087,2
