serve,p1_points_won,p2_points_won,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_break_pt,p2_break_pt,p1_distance_run,p2_distance_run,speed_mph,serve_width,serve_depth,return_depth
0.0,0.4,0.6,0.0,0.0,0.1,0.1,0.0,0.0,0.16666666666666666,0.25,0.0,0.5,0.0,0.0,13.854800000000001,13.0689,127.0,5.0,2.0,1.0
1.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3333333333333333,13.872499999999997,15.863666666666665,128.0,4.0,2.0,1.0
0.0,0.3333333333333333,0.6666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.25,0.5,0.0,1.0,0.0,0.0,37.35633333333333,34.35816666666666,122.0,4.0,2.0,1.0
1.0,0.375,0.625,0.0,0.0,0.125,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.3333333333333333,17.280375,19.6055,128.0,5.0,2.0,1.0
0.0,0.2,0.8,0.0,0.0,0.2,0.2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,14.7322,14.02,126.0,5.0,2.0,1.0
1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.696166666666668,18.487333333333332,131.0,5.0,2.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.5875,16.30425,125.0,5.0,2.0,1.0
1.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.75,18.5148,129.0,5.0,2.0,0.0
0.0,0.6,0.4,0.0,0.0,0.1,0.2,0.0,0.1,0.25,0.6666666666666666,0.0,0.5,0.5,0.0,19.856699999999996,18.9156,118.0,5.0,2.0,1.0
1.0,0.375,0.625,0.0,0.0,0.25,0.125,0.125,0.0,0.6,0.0,0.5,1.0,0.0,1.0,28.3795,29.630125,125.0,5.0,2.0,1.0
0.0,0.375,0.625,0.0,0.0,0.0,0.125,0.0,0.0,0.4,0.3333333333333333,0.0,0.5,0.0,0.0,29.3995,24.049625,122.0,5.0,2.0,1.0
1.0,0.6,0.4,0.0,0.0,0.2,0.1,0.0,0.0,0.25,0.3333333333333333,1.0,1.0,0.0,0.0,18.055500000000002,21.2643,132.0,5.0,2.0,1.0
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63533333333333,23.015333333333334,124.0,4.0,2.0,1.0
1.0,1.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.62675,25.88575,129.0,5.0,2.0,0.0
0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,22.5428,18.883,115.0,4.0,2.0,1.0
1.0,0.8,0.2,0.2,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.5976,14.053,124.0,5.0,2.0,1.0
0.0,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3333333333333333,0.0,1.0,0.0,0.0,27.46275,22.020875,125.0,5.0,2.0,1.0
1.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.6642,21.919999999999998,132.0,5.0,2.0,1.0
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,0.0,21.706666666666667,11.271833333333333,123.0,4.0,2.0,1.0
0.5,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0,0.2857142857142857,0.07142857142857142,0.0,0.0,0.16666666666666666,0.375,0.0,0.0,0.0,0.0,18.395928571428566,16.969214285714287,128.0,5.0,2.0,1.0
0.0,0.625,0.375,0.0,0.125,0.25,0.125,0.0,0.0,0.6666666666666666,0.4,1.0,0.0,0.5,0.0,27.000125,22.990125,125.0,5.0,2.0,1.0
1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,21.706000000000003,23.003333333333334,126.0,4.0,2.0,1.0
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,25.79133333333333,19.903833333333335,120.0,5.0,2.0,1.0
1.0,0.625,0.375,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.4,0.3333333333333333,0.0,0.0,0.0,18.2485,24.157375,128.0,5.0,2.0,1.0
0.0,0.53125,0.46875,0.0,0.0,0.0625,0.15625,0.0,0.03125,0.13333333333333333,0.5882352941176471,1.0,0.625,0.14285714285714285,0.0,22.44525,18.5835,123.0,5.0,2.0,1.0
1.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,10.479,11.1048,129.0,5.0,2.0,1.0
0.0,0.8,0.2,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,8.9252,8.0574,121.0,4.0,2.0,1.0
1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,0.0,1.0,0.0,0.0,0.0,14.902833333333335,18.444166666666664,130.0,4.0,2.0,0.0
0.0,0.375,0.625,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.55475,17.4895,124.0,5.0,2.0,1.0
1.0,0.5833333333333334,0.4166666666666667,0.16666666666666666,0.0,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.0,0.4,0.14285714285714285,0.75,0.0,0.0,0.0,15.183416666666666,13.840416666666668,130.0,5.0,2.0,1.0
0.0,0.375,0.625,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,29.66875,23.382125,121.0,5.0,2.0,1.0
1.0,0.4,0.6,0.0,0.0,0.1,0.1,0.0,0.0,0.3333333333333333,0.5,0.5,1.0,0.0,0.3333333333333333,17.406800000000004,20.9935,130.0,5.0,2.0,1.0
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.0,25.806833333333334,19.369333333333334,123.0,5.0,2.0,1.0
1.0,0.8,0.2,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.0,10.615,13.872199999999998,125.0,5.0,2.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.801,15.389000000000001,122.0,5.0,2.0,1.0
1.0,0.2,0.8,0.0,0.0,0.0,0.2,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.5,7.5284,12.132200000000001,128.0,5.0,2.0,0.0
0.0,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,18.279200000000003,14.887200000000002,126.0,5.0,2.0,1.0
1.0,0.625,0.375,0.0,0.0,0.375,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,25.549875,29.799124999999997,122.0,4.0,2.0,1.0
0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,1.0,0.0,1.0,0.0,26.16483333333333,20.002,125.0,5.0,2.0,1.0
1.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.28575,5.481749999999999,123.0,5.0,2.0,1.0
0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.6756,6.1162,124.0,5.0,2.0,1.0
1.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,10.752666666666668,12.387166666666666,128.0,5.0,2.0,1.0
0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,18.016333333333332,12.961833333333331,124.0,5.0,2.0,1.0
1.0,0.8,0.2,0.2,0.0,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.968399999999999,18.6668,115.0,5.0,2.0,1.0
0.0,0.2,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.818800000000001,8.7854,123.0,5.0,2.0,1.0
1.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,16.585166666666666,23.878666666666664,130.0,5.0,2.0,1.0
